,Bedroom,Bathroom,Den,Address,Lat,Long,Price
380,1,1.0,0,L7J,43.6281687,-80.041462,1175.0
381,2,2.0,0,L6G,43.8497521,-79.32466629999999,2300.0
382,1,1.0,0,M5A,43.653075,-79.37017900000001,2000.0
383,1,1.0,1,M6H,43.6739944,-79.44168499999999,1650.0
384,2,1.0,0,M6J,43.6415686,-79.42460279999999,2889.0
385,2,2.0,0,M5B,43.6606054,-79.37863540000001,2800.0
386,1,1.0,0,M5T,43.6520426,-79.4022416,1300.0
387,2,1.0,0,L1H,43.892047399999996,-78.86086800000001,1250.0
388,1,1.0,0,M6J,43.65229779999999,-79.4069977,1300.0
389,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
390,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
391,1,1.0,0,M5B,43.6606054,-79.37863540000001,2000.0
392,1,1.0,0,M5G,43.659329,-79.3826747,2350.0
393,2,2.0,0,M5B,43.656733200000005,-79.37515400000001,2900.0
394,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
395,2,2.0,0,M4Y,43.6652335,-79.3842932,3300.0
396,1,1.0,1,L5B,43.589760299999995,-79.6484562,2200.0
397,1,1.0,0,M5V,43.6469441,-79.3923973,1850.0
398,1,1.0,1,L5H,43.534070899999996,-79.6245936,2150.0
399,1,1.0,0,M5A,43.653978,-79.3541341,1900.0
400,1,1.0,0,M6K,43.638700299999996,-79.4121833,2200.0
402,3,2.0,0,M5V,43.6467641,-79.3922208,3200.0
403,1,1.0,0,M5E,43.6441737,-79.3894209,2500.0
404,1,1.5,0,m8v,43.6070571,-79.4949066,1200.0
405,1,1.0,0,m5e,43.645271,-79.37639509999998,2600.0
406,2,2.0,0,M4Y,43.6695928,-79.3805797,3575.0
407,2,1.0,0,M5V,43.6383175,-79.3977947,3200.0
408,2,1.0,0,M5V,43.6469441,-79.3923973,2500.0
409,1,1.0,0,M5B,43.6606054,-79.37863540000001,1850.0
410,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0
411,1,1.0,0,L7S,43.3202733,-79.8031017,1575.0
412,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
413,1,1.0,0,M4Y,43.6660964,-79.3873217,2400.0
414,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
415,2,1.5,0,L1H,43.8975848,-78.8553098,1250.0
416,1,1.0,1,L6G,43.8533775,-79.32543129999999,1700.0
417,1,2.0,1,L5B,43.5904968,-79.63292870000001,2150.0
418,3,1.5,0,M6J,43.6411088,-79.419448,3450.0
419,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
420,2,1.0,0,L1H,43.8975848,-78.8553098,1350.0
421,2,1.0,0,M5A,43.6519582,-79.3688547,2550.0
422,1,1.0,0,M5V,43.6367593,-79.3978503,1900.0
